k a,#pragma weak variables should get handled in coupling,VC-1010,"Previously, VectorCAST/C++ ignored '#pragma weak' variables when doing coupling analysis.This problem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk - coupling analysis is not used.,Not Evaluated,
k a,Harness compilation error when anonymous structure used for sizeof in arraysize,75498,"Previously, VectorCAST/C++ generated test harness code which did not compile when the source code had an array size containing a sizeof expression with an anonymous struct. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and fixed by a developer.,No Risk,
k a,Ada harness compile error when function returns FORWARD_ITERATOR or REVERSIBLE_ITERATOR,96348,"In previous versions of VectorCAST/Ada, a harness compile error could occur for testable functions that returned an instantiation of the generic ADA.ITERATOR_INTERFACES.FORWARD_ITERATOR or ADA.ITERATOR_INTERFACES.REVERSIBLE_ITERATOR. This problem is fixed in VectorCAST version 2024 SP6. Such functions are no longer called in the harness from the test driver.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and fixed by a developer.,No Risk,
k a,vcshell misinterpreting gcc's '--coverage' argument,97366,"Previously, vcshell displayed the error message ""vcshell: --coverage_type supported only with instrument"" when processing a gcc command containing the '--coverage' argument while creating a vcshell database because it conflicted with the vcshell argument '--coverage_type'. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This issue causes a build error which is easily detected by a developer.,No Risk,
k a,Harness file is compiled twice when environment built with coverage,100241,"In previous versions of VectorCAST/C++, building environments with coverage enabled would result in the B0000002.cpp harness file being compiled twice. This problem is fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This is an efficiency issue that only impacts build time and does not affect the correctness of the final test binary or results.,No Risk,
k a,Internal error when using void alias as function template function parameter,100358,"Previously, VectorCAST/C++ aborted coverage instrumentation with the error ""Internal error loop: write_orig_source_line: could not find line"" for some source code using a void alias as a function template function parameter. This problem has been resolved in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This internal error is a build blocker and is easily detected by a developer.,No Risk,
k a,"Coverage metrics on unnecessary template function instantiations when option ""Instrument template instantiations"" is True",100450,"In previous versions, with the coverage option ""Instrument template instantiations"" (VCAST_COVERAGE_FOR_TEMPLATE_INSTANTIATIONS) set to True, VectorCAST/Cover would instrument even those template function instantiations that the compiler did not compile and were not present in the object file. This problem has been fixed in VectorCAST version 2024 SP6 so that only the template function instantiations present in the object file are instrumented when the 'Template Instantiation Coverage' configuration option is enabled.",Correction in newer version (release notes),"NoRisk, It occurs in case of using ""source file"" as perspective coverage, we are using translation unit. Option is disabled.",Not Evaluated,
k a,Instrumentation point placed between #pragma unroll and following loop,100981,"In previous versions of VectorCAST/C++, instrumenting a clang compiler specific '#pragma unroll' directive in a template function would result in an instrumented source file with syntax errors. This has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. This issue causes a syntax error which is easily detected by a developer.,No Risk,
k a,Console Report prints output for Skipped Tests,101022,"Previously, skipped tests would errantly show as passing in the Console Report, sometimes with missing or incorrect parent testcase information. This has been fixed in VectorCAST version 2024 SP6 and skipped tests are not displayed in the Console Report Output.",Correction in newer version (release notes),"""Console Report"" is something like a logfile, if this case, the test environment will show 0 test cases and this will be noticeable",Not Evaluated,
k a,"Missing template parameters in Metrics report when option ""Instrument template instantiations"" is True",101150,"In previous versions of VectorCAST Cover and VectorCAST/C++, enabling the coverage option ""Instrument template instantiations"" (VCAST_COVERAGE_FOR_TEMPLATE_INSTANTIATIONS) and instrumenting a template class which contained an anonymous non-type template parameter would result in those template parameters missing in the Coverage Viewer, the Aggregate Coverage report, and the DataAPI. This has been fixed in VectorCAST version 2024 SP6.",Correction in newer version (release notes),No Risk. Missing variable of some special type.,Not Evaluated,
